name,mjd,snr_heim,dm_heim,dm_opt,dm_exgal,ibox,redshift,ra,dec,beam,ids,rm_opt,rm_err,rmgal,rmgalerr,rmion,rmionerr,Voltage Localization
mayra,60364.09807,14,880.7,881.2,797.2773,4,,70,71.6,121,240224aaad,,,,,,,04h40m27.57s +73d30m46.0s
casey,60369.37095,93.9,491.6,491.15,453,2,0.287,173.7,71.8,198,240229aaad,,,,,,,11h19m56.05s +70d40m34.4s
pari,554553,8.5,442.7,443.2,,16,,243.8,71.7,136,240304aaax,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FRB20220912A1,59870.22278,12.2,228.3,219.46,94.2172,16,0.077,347.3,48.7,169,221018aaaj,-51.08691143061019,14.97771673,-14.72724877,10.82018201,0.73109091,0.11682649,23h09m04.83s +48d42m23.6s 
FRB20220912A2,59877.20325,8.5,222.7,219.46,94.2172,16,0.077,347.3,48.7,163,221025aanu,-25.41750482,16.24898563,-14.72724877,10.82018201,0.42337946,0.09975961,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
benjy ,59720.32369,11.1,1294.8,,,16,,236.1,71.7,149,220521aaat,,,,,,,
maya,59680.68161,9.5,151.3,150,47.8466,32,,327.5,71.5,117,220411aabk,,,,,,,
TBC,59700.33546,10.7,723.8,721.5,683.7239,32,,222.9,71.7,105,220501aaar,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
